com.victronenergy.solarcharger.ttyO0
/Mgmt/Connection	STRING	VE.Direct	VE.Direct
/History/Daily/25/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/25/MaxPower	DOUBLE	34.0	34W
/History/Daily/25/MaxBatteryCurrent	DOUBLE	2.4000000953674316	2.4A
/History/Daily/25/MinBatteryVoltage	DOUBLE	26.479999542236328	26.48V
/History/Daily/25/MaxBatteryVoltage	DOUBLE	26.520000457763672	26.52V
/History/Daily/25/Consumption	ARRAY	[]	
/History/Daily/25/Yield	DOUBLE	0.05000000074505806	0.05kWh
/History/Daily/25/Nr	INT32	153	153
/History/Daily/24/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/24/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/24/TimeInBulk	DOUBLE	1439.0	1439s
/History/Daily/24/LastError4	INT32	0	0
/History/Daily/24/LastError3	INT32	0	0
/History/Daily/24/LastError2	INT32	0	0
/History/Daily/24/LastError1	INT32	0	0
/History/Daily/24/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/24/MaxPower	DOUBLE	47.0	47W
/History/Daily/24/MaxBatteryCurrent	DOUBLE	3.299999952316284	3.3A
/History/Daily/24/MinBatteryVoltage	DOUBLE	26.470000267028809	26.47V
/History/Daily/24/MaxBatteryVoltage	DOUBLE	26.529999732971191	26.53V
/History/Daily/24/Consumption	ARRAY	[]	
/History/Daily/24/Yield	DOUBLE	0.05999999865889549	0.06kWh
/History/Daily/24/Nr	INT32	154	154
/History/Daily/23/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/23/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/23/TimeInBulk	DOUBLE	1439.0	1439s
/History/Daily/23/LastError4	INT32	0	0
/History/Daily/23/LastError3	INT32	0	0
/History/Daily/23/LastError2	INT32	0	0
/History/Daily/23/LastError1	INT32	0	0
/History/Daily/23/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/23/MaxPower	DOUBLE	34.0	34W
/History/Daily/23/MaxBatteryCurrent	DOUBLE	2.5	2.5A
/History/Daily/23/MinBatteryVoltage	DOUBLE	26.479999542236328	26.48V
/History/Daily/23/MaxBatteryVoltage	DOUBLE	26.529999732971191	26.53V
/History/Daily/23/Consumption	ARRAY	[]	
/History/Daily/23/Yield	DOUBLE	0.029999999329447746	0.03kWh
/History/Daily/23/Nr	INT32	155	155
/History/Daily/22/TimeInFloat	DOUBLE	2.0	2s
/History/Daily/22/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/22/TimeInBulk	DOUBLE	1436.0	1436s
/History/Daily/22/LastError4	INT32	0	0
/History/Daily/22/LastError3	INT32	0	0
/History/Daily/22/LastError2	INT32	0	0
/History/Daily/22/LastError1	INT32	0	0
/History/Daily/22/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/22/MaxPower	DOUBLE	35.0	35W
/History/Daily/22/MaxBatteryCurrent	DOUBLE	2.5	2.5A
/History/Daily/22/MinBatteryVoltage	DOUBLE	26.470000267028809	26.47V
/History/Daily/22/MaxBatteryVoltage	DOUBLE	26.529999732971191	26.53V
/History/Daily/22/Consumption	ARRAY	[]	
/History/Daily/22/Yield	DOUBLE	0.07000000029802322	0.07kWh
/History/Daily/22/Nr	INT32	156	156
/History/Daily/21/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/21/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/21/TimeInBulk	DOUBLE	1439.0	1439s
/History/Daily/21/LastError4	INT32	0	0
/History/Daily/21/LastError3	INT32	0	0
/History/Daily/21/LastError2	INT32	0	0
/History/Daily/21/LastError1	INT32	0	0
/History/Daily/21/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/21/MaxPower	DOUBLE	34.0	34W
/History/Daily/21/MaxBatteryCurrent	DOUBLE	2.4000000953674316	2.4A
/History/Daily/21/MinBatteryVoltage	DOUBLE	26.470000267028809	26.47V
/History/Daily/21/MaxBatteryVoltage	DOUBLE	26.529999732971191	26.53V
/History/Daily/21/Consumption	ARRAY	[]	
/History/Daily/21/Yield	DOUBLE	0.05999999865889549	0.06kWh
/History/Daily/21/Nr	INT32	157	157
/History/Daily/20/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/20/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/20/TimeInBulk	DOUBLE	1439.0	1439s
/History/Daily/20/LastError4	INT32	0	0
/History/Daily/20/LastError3	INT32	0	0
/History/Daily/20/LastError2	INT32	0	0
/History/Daily/20/LastError1	INT32	0	0
/History/Daily/20/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/20/MaxPower	DOUBLE	36.0	36W
/History/Daily/20/MaxBatteryCurrent	DOUBLE	2.5999999046325684	2.6A
/History/Daily/20/MinBatteryVoltage	DOUBLE	26.449999809265137	26.45V
/History/Daily/20/MaxBatteryVoltage	DOUBLE	26.529999732971191	26.53V
/History/Daily/20/Consumption	ARRAY	[]	
/History/Daily/20/Yield	DOUBLE	0.05000000074505806	0.05kWh
/History/Daily/20/Nr	INT32	158	158
/History/Daily/19/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/19/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/19/TimeInBulk	DOUBLE	1439.0	1439s
/History/Daily/19/LastError4	INT32	0	0
/History/Daily/19/LastError3	INT32	0	0
/History/Daily/19/LastError2	INT32	0	0
/History/Daily/19/LastError1	INT32	0	0
/History/Daily/19/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/19/MaxPower	DOUBLE	214.0	214W
/History/Daily/19/MaxBatteryCurrent	DOUBLE	14.5	14.5A
/History/Daily/19/MinBatteryVoltage	DOUBLE	26.479999542236328	26.48V
/History/Daily/19/MaxBatteryVoltage	DOUBLE	14.220000267028809	14.22V
/History/Daily/19/Consumption	ARRAY	[]	
/History/Daily/19/Yield	DOUBLE	0.09000000357627869	0.09kWh
/History/Daily/19/Nr	INT32	159	159
/History/Daily/18/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/18/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/18/TimeInBulk	DOUBLE	1439.0	1439s
/History/Daily/18/LastError4	INT32	0	0
/History/Daily/18/LastError3	INT32	0	0
/History/Daily/18/LastError2	INT32	0	0
/History/Daily/18/LastError1	INT32	0	0
/History/Daily/18/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/18/MaxPower	DOUBLE	34.0	34W
/History/Daily/18/MaxBatteryCurrent	DOUBLE	2.4000000953674316	2.4A
/History/Daily/18/MinBatteryVoltage	DOUBLE	26.479999542236328	26.48V
/History/Daily/18/MaxBatteryVoltage	DOUBLE	26.520000457763672	26.52V
/History/Daily/18/Consumption	ARRAY	[]	
/History/Daily/18/Yield	DOUBLE	0.03999999910593033	0.04kWh
/History/Daily/18/Nr	INT32	160	160
/History/Daily/17/TimeInFloat	DOUBLE	0.0	0s
/History/Daily/17/TimeInAbsorption	DOUBLE	0.0	0s
/History/Daily/17/TimeInBulk	DOUBLE	1439.0	1439s
/History/Daily/17/LastError4	INT32	0	0
/History/Daily/17/LastError3	INT32	0	0
/History/Daily/17/LastError2	INT32	0	0
/History/Daily/17/LastError1	INT32	0	0
/History/Daily/17/MaxPvVoltage	DOUBLE	50.08000183105469	50.08V
/History/Daily/17/MaxPower	DOUBLE	36.0	36W
/History/Daily/17/MaxBatteryCurrent	DOUBLE	2.5999999046325684	2.6A
/History/Daily/17/MinBatteryVoltage	DOUBLE	26.479999542236328	26.48V
