com.victronenergy.battery.socketcan_can0_vi1_uc427738
6	/History/TimeSinceLastFullCharge	INT32	9459	9459s
6	/Dc/0/Voltage	DOUBLE	52.40999984741211	52.41V
6	/Dc/0/Current	DOUBLE	-74.80000305175781	-74.8A
6	/Dc/0/Power	INT32	-3920	-3920W
7	/Soc	DOUBLE	83.43000030517578	83.4%
7	/History/TimeSinceLastFullCharge	INT32	9460	9460s
8	/Dc/0/Current	DOUBLE	-74.9000015258789	-74.9A
8	/Dc/0/Power	INT32	-3925	-3925W
8	/Soc	DOUBLE	83.41999816894531	83.4%
8	/TimeToGo	UINT32	6540	6540s
8	/ConsumedAmphours	DOUBLE	-31.299999237060547	-31.3Ah
8	/History/TimeSinceLastFullCharge	INT32	9461	9461s
9	/Soc	DOUBLE	83.41000366210938	83.4%
9	/History/TotalAhDrawn	DOUBLE	523.9000244140625	523.9Ah
9	/History/TimeSinceLastFullCharge	INT32	9462	9462s
10	/Soc	DOUBLE	83.4000015258789	83.4%
10	/History/TimeSinceLastFullCharge	INT32	9463	9463s
11	/Dc/0/Current	DOUBLE	-74.80000305175781	-74.8A
11	/Dc/0/Power	INT32	-3920	-3920W
11	/Soc	DOUBLE	83.38999938964844	83.4%
11	/History/TimeSinceLastFullCharge	INT32	9464	9464s
12	/Dc/0/Current	DOUBLE	-74.69999694824219	-74.7A
12	/Dc/0/Power	INT32	-3915	-3915W
12	/Soc	DOUBLE	83.37999725341797	83.4%
12	/ConsumedAmphours	DOUBLE	-31.399999618530273	-31.4Ah
12	/History/TimeSinceLastFullCharge	INT32	9465	9465s
14	/Soc	DOUBLE	83.37000274658203	83.4%
14	/History/TotalAhDrawn	DOUBLE	524.0	524.0Ah
14	/History/TimeSinceLastFullCharge	INT32	9466	9466s
15	/Soc	DOUBLE	83.3499984741211	83.3%
15	/TimeToGo	UINT32	6480	6480s
15	/History/TimeSinceLastFullCharge	INT32	9467	9467s
15	/Dc/0/Current	DOUBLE	-74.80000305175781	-74.8A
15	/Dc/0/Power	INT32	-3920	-3920W
16	/Soc	DOUBLE	83.33999633789062	83.3%
16	/History/DischargedEnergy	DOUBLE	27.860000610351562	27.86kWh
16	/History/TimeSinceLastFullCharge	INT32	9468	9468s
17	/Soc	DOUBLE	83.33000183105469	83.3%
17	/History/TimeSinceLastFullCharge	INT32	9469	9469s
17	/Dc/0/Current	DOUBLE	-74.4000015258789	-74.4A
17	/Dc/0/Power	INT32	-3899	-3899W
18	/Soc	DOUBLE	83.31999969482422	83.3%
18	/ConsumedAmphours	DOUBLE	-31.5	-31.5Ah
18	/History/TimeSinceLastFullCharge	INT32	9470	9470s
18	/Dc/0/Current	DOUBLE	-74.5999984741211	-74.6A
18	/Dc/0/Power	INT32	-3909	-3909W
19	/Soc	DOUBLE	83.30999755859375	83.3%
19	/History/TotalAhDrawn	DOUBLE	524.0999755859375	524.1Ah
19	/History/TimeSinceLastFullCharge	INT32	9471	9471s
20	/Dc/0/Voltage	DOUBLE	52.400001525878906	52.40V
20	/Dc/0/Current	DOUBLE	-74.9000015258789	-74.9A
20	/Dc/0/Power	INT32	-3924	-3924W
20	/Soc	DOUBLE	83.30000305175781	83.3%
20	/History/TimeSinceLastFullCharge	INT32	9472	9472s
21	/Soc	DOUBLE	83.27999877929688	83.3%
21	/History/TimeSinceLastFullCharge	INT32	9473	9473s
21	/Dc/0/Current	DOUBLE	-74.5999984741211	-74.6A
21	/Dc/0/Power	INT32	-3909	-3909W
22	/Soc	DOUBLE	83.2699966430664	83.3%
22	/History/TimeSinceLastFullCharge	INT32	9474	9474s
23	/Dc/0/Current	DOUBLE	-74.69999694824219	-74.7A
23	/Dc/0/Power	INT32	-3914	-3914W
23	/Soc	DOUBLE	83.26000213623047	83.3%
23	/ConsumedAmphours	DOUBLE	-31.600000381469727	-31.6Ah
23	/History/TimeSinceLastFullCharge	INT32	9475	9475s
24	/Soc	DOUBLE	83.25	83.2%
24	/TimeToGo	UINT32	6420	6420s
24	/History/TotalAhDrawn	DOUBLE	524.2000122070312	524.2Ah
24	/History/TimeSinceLastFullCharge	INT32	9476	9476s
24	/Dc/0/Current	DOUBLE	-74.5	-74.5A
24	/Dc/0/Power	INT32	-3903	-3903W
25	/Soc	DOUBLE	83.23999786376953	83.2%
25	/History/DischargedEnergy	DOUBLE	27.8700008392334	27.87kWh
25	/History/TimeSinceLastFullCharge	INT32	9477	9477s
26	/Soc	DOUBLE	83.2300033569336	83.2%
26	/History/TimeSinceLastFullCharge	INT32	9478	9478s
27	/Soc	DOUBLE	83.22000122070312	83.2%
27	/History/TimeSinceLastFullCharge	INT32	9479	9479s
28	/Soc	DOUBLE	83.19999694824219	83.2%
28	/ConsumedAmphours	DOUBLE	-31.700000762939453	-31.7Ah
28	/History/TimeSinceLastFullCharge	INT32	9480	9480s
29	/Dc/0/Current	DOUBLE	-74.69999694824219	-74.7A
29	/Dc/0/Power	INT32	-3914	-3914W
29	/Soc	DOUBLE	83.19000244140625	83.2%
29	/History/TotalAhDrawn	DOUBLE	524.2999877929688	524.3Ah
29	/History/TimeSinceLastFullCharge	INT32	9481	9481s
30	/Dc/0/Current	DOUBLE	-74.80000305175781	-74.8A
30	/Dc/0/Power	INT32	-3919	-3919W
30	/Soc	DOUBLE	83.18000030517578	83.2%
30	/History/TimeSinceLastFullCharge	INT32	9482	9482s
31	/Soc	DOUBLE	83.16999816894531	83.2%
31	/History/TimeSinceLastFullCharge	INT32	9483	9483s
32	/Soc	DOUBLE	83.16000366210938	83.2%
32	/History/TimeSinceLastFullCharge	INT32	9484	9484s
33	/Dc/0/Current	DOUBLE	-74.9000015258789	-74.9A
