com.victronenergy.battery.socketcan_can0_vi0_uc231681
38	/History/TimeSinceLastFullCharge	INT32	4	4s
39	/History/TimeSinceLastFullCharge	INT32	5	5s
41	/History/TimeSinceLastFullCharge	INT32	6	6s
42	/History/TimeSinceLastFullCharge	INT32	7	7s
42	/Dc/0/Current	DOUBLE	-0.20000000298023224	-0.2A
42	/Dc/0/Power	INT32	-5	-5W
43	/History/TimeSinceLastFullCharge	INT32	8	8s
44	/History/TimeSinceLastFullCharge	INT32	9	9s
44	/Dc/0/Current	DOUBLE	-0.10000000149011612	-0.1A
44	/Dc/0/Power	INT32	-2	-2W
45	/History/TimeSinceLastFullCharge	INT32	10	10s
45	/Dc/0/Voltage	DOUBLE	26.969999313354492	26.97V
45	/Dc/0/Current	DOUBLE	-1.0	-1.0A
45	/Dc/0/Power	INT32	-26	-26W
46	/History/TimeSinceLastFullCharge	INT32	11	11s
47	/Dc/0/Voltage	DOUBLE	26.950000762939453	26.95V
47	/Dc/0/Current	DOUBLE	-8.199999809265137	-8.2A
47	/Dc/0/Power	INT32	-220	-220W
47	/History/TimeSinceLastFullCharge	INT32	12	12s
48	/TimeToGo	UINT32	836820	836820s
48	/History/TimeSinceLastFullCharge	INT32	13	13s
48	/Dc/0/Current	DOUBLE	-8.399999618530273	-8.4A
48	/Dc/0/Power	INT32	-226	-226W
49	/TimeToGo	UINT32	572640	572640s
49	/History/TimeSinceLastFullCharge	INT32	14	14s
50	/Dc/0/Current	DOUBLE	-7.300000190734863	-7.3A
50	/Dc/0/Power	INT32	-196	-196W
50	/TimeToGo	UINT32	448860	448860s
50	/History/TimeSinceLastFullCharge	INT32	15	15s
51	/TimeToGo	UINT32	388440	388440s
51	/History/TimeSinceLastFullCharge	INT32	16	16s
51	/Dc/0/Current	DOUBLE	-5.900000095367432	-5.9A
51	/Dc/0/Power	INT32	-159	-159W
52	/TimeToGo	UINT32	347340	347340s
52	/History/TimeSinceLastFullCharge	INT32	17	17s
53	/Dc/0/Current	DOUBLE	-5.800000190734863	-5.8A
53	/Dc/0/Power	INT32	-156	-156W
53	/TimeToGo	UINT32	316140	316140s
53	/History/TimeSinceLastFullCharge	INT32	18	18s
54	/TimeToGo	UINT32	314640	314640s
54	/History/TimeSinceLastFullCharge	INT32	19	19s
54	/Dc/0/Voltage	DOUBLE	26.989999771118164	26.99V
54	/Dc/0/Current	DOUBLE	0.5	0.5A
54	/Dc/0/Power	INT32	13	13W
55	/TimeToGo	ARRAY	[]	
55	/History/TimeSinceLastFullCharge	INT32	20	20s
56	/Dc/0/Voltage	DOUBLE	26.979999542236328	26.98V
56	/Dc/0/Current	DOUBLE	0.0	0.0A
56	/Dc/0/Power	INT32	0	0W
56	/TimeToGo	UINT32	864000	864000s
56	/History/TimeSinceLastFullCharge	INT32	21	21s
57	/Dc/0/Current	DOUBLE	-0.6000000238418579	-0.6A
57	/Dc/0/Power	INT32	-16	-16W
57	/History/TimeSinceLastFullCharge	INT32	22	22s
58	/History/TimeSinceLastFullCharge	INT32	23	23s
59	/Dc/0/Current	DOUBLE	-0.699999988079071	-0.7A
59	/Dc/0/Power	INT32	-18	-18W
59	/History/TimeSinceLastFullCharge	INT32	24	24s
60	/Dc/0/Current	DOUBLE	-0.800000011920929	-0.8A
60	/Dc/0/Power	INT32	-21	-21W
61	/History/TimeSinceLastFullCharge	INT32	25	25s
62	/History/TimeSinceLastFullCharge	INT32	26	26s
62	/Dc/0/Current	DOUBLE	-1.100000023841858	-1.1A
62	/Dc/0/Power	INT32	-29	-29W
63	/History/TimeSinceLastFullCharge	INT32	27	27s
63	/Dc/0/Current	DOUBLE	-1.0	-1.0A
63	/Dc/0/Power	INT32	-26	-26W
64	/History/TimeSinceLastFullCharge	INT32	28	28s
65	/History/TimeSinceLastFullCharge	INT32	29	29s
65	/Dc/0/Current	DOUBLE	-0.800000011920929	-0.8A
65	/Dc/0/Power	INT32	-21	-21W
66	/History/TimeSinceLastFullCharge	INT32	30	30s
66	/Dc/0/Current	DOUBLE	-0.8999999761581421	-0.9A
66	/Dc/0/Power	INT32	-24	-24W
67	/History/TimeSinceLastFullCharge	INT32	31	31s
68	/Dc/0/Current	DOUBLE	-1.0	-1.0A
68	/Dc/0/Power	INT32	-26	-26W
